"City / Municipality","Transmission Status"
"SAN FERNANDO CITY, PAMPANGA","FULL TRANSMISSION"
"SAN FRANCISCO, AGUSAN DEL SUR","FULL TRANSMISSION"
"SAN FRANCISCO, CEBU","FULL TRANSMISSION"
"SAN FRANCISCO, SOUTHERN LEYTE","FULL TRANSMISSION"
"SAN FRANCISCO (ANAO-AON), SURIGAO DEL NORTE","FULL TRANSMISSION"
"SAN FRANCISCO (AURORA), QUEZON","FULL TRANSMISSION"
"SAN GABRIEL, LA UNION","FULL TRANSMISSION"
"SAN GUILLERMO, ISABELA","PARTIAL TRANSMISSION"
"SAN ILDEFONSO, BULACAN","FULL TRANSMISSION"
"SAN ILDEFONSO, ILOCOS SUR","FULL TRANSMISSION"
"SAN ISIDRO, ABRA","FULL TRANSMISSION"
"SAN ISIDRO, BOHOL","FULL TRANSMISSION"
"SAN ISIDRO, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"SAN ISIDRO, DAVAO ORIENTAL","FULL TRANSMISSION"
"SAN ISIDRO, ISABELA","FULL TRANSMISSION"
"SAN ISIDRO, LEYTE","FULL TRANSMISSION"
"SAN ISIDRO, NORTHERN SAMAR","FULL TRANSMISSION"
"SAN ISIDRO, NUEVA ECIJA","FULL TRANSMISSION"
"SAN ISIDRO, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"SAN JACINTO, MASBATE","FULL TRANSMISSION"
"SAN JACINTO, PANGASINAN","FULL TRANSMISSION"
"SAN JOAQUIN, ILOILO","FULL TRANSMISSION"
"SAN JORGE, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"SAN JOSE, ANTIQUE","FULL TRANSMISSION"
"SAN JOSE, BATANGAS","FULL TRANSMISSION"
"SAN JOSE, CAMARINES SUR","FULL TRANSMISSION"
"SAN JOSE, DINAGAT ISLANDS","PARTIAL TRANSMISSION"
"SAN JOSE, NEGROS ORIENTAL","FULL TRANSMISSION"
"SAN JOSE, NORTHERN SAMAR","PARTIAL TRANSMISSION"
"SAN JOSE, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"SAN JOSE, ROMBLON","FULL TRANSMISSION"
"SAN JOSE, TARLAC","FULL TRANSMISSION"
"SAN JOSE CITY, NUEVA ECIJA","FULL TRANSMISSION"
"SAN JOSE DE BUAN, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"SAN JOSE DEL MONTE  CITY, BULACAN","FULL TRANSMISSION"
"SAN JUAN, ABRA","PARTIAL TRANSMISSION"
"SAN JUAN, BATANGAS","PARTIAL TRANSMISSION"
"SAN JUAN, LA UNION","FULL TRANSMISSION"
"SAN JUAN, SIQUIJOR","FULL TRANSMISSION"
"SAN JUAN (CABALIAN), SOUTHERN LEYTE","FULL TRANSMISSION"
"SAN JUAN (LAPOG), ILOCOS SUR","FULL TRANSMISSION"
"SAN JUAN CITY, NATIONAL CAPITAL REGION - SECOND DISTRICT","FULL TRANSMISSION"
"SAN JULIAN, EASTERN SAMAR","FULL TRANSMISSION"
"SAN LEONARDO, NUEVA ECIJA","FULL TRANSMISSION"
"SAN LORENZO, GUIMARAS","FULL TRANSMISSION"
"SAN LORENZO RUIZ (IMELDA), CAMARINES NORTE","FULL TRANSMISSION"
"SAN LUIS, AGUSAN DEL SUR","PARTIAL TRANSMISSION"
"SAN LUIS, AURORA","FULL TRANSMISSION"
"SAN LUIS, BATANGAS","FULL TRANSMISSION"
"SAN LUIS, PAMPANGA","FULL TRANSMISSION"
"SAN MANUEL, ISABELA","FULL TRANSMISSION"
"SAN MANUEL, PANGASINAN","FULL TRANSMISSION"
"SAN MANUEL, TARLAC","FULL TRANSMISSION"
"SAN MARCELINO, ZAMBALES","FULL TRANSMISSION"
"SAN MARIANO, ISABELA","FULL TRANSMISSION"
"SAN MATEO, ISABELA","FULL TRANSMISSION"
"SAN MATEO, RIZAL","FULL TRANSMISSION"
"SAN MIGUEL, BOHOL","FULL TRANSMISSION"
"SAN MIGUEL, BULACAN","FULL TRANSMISSION"
"SAN MIGUEL, CATANDUANES","FULL TRANSMISSION"
"SAN MIGUEL, ILOILO","FULL TRANSMISSION"
"SAN MIGUEL, LEYTE","FULL TRANSMISSION"
"SAN MIGUEL, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"SAN MIGUEL, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"SAN MIGUEL, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"SAN NARCISO, QUEZON","FULL TRANSMISSION"
"SAN NARCISO, ZAMBALES","FULL TRANSMISSION"
"SAN NICOLAS, BATANGAS","FULL TRANSMISSION"
"SAN NICOLAS, ILOCOS NORTE","FULL TRANSMISSION"
"SAN NICOLAS, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"SAN NICOLAS, PANGASINAN","FULL TRANSMISSION"
"SAN PABLO, ISABELA","FULL TRANSMISSION"
"SAN PABLO, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"SAN PABLO CITY, LAGUNA","FULL TRANSMISSION"
"SAN PASCUAL, BATANGAS","FULL TRANSMISSION"
"SAN PASCUAL, MASBATE","FULL TRANSMISSION"
"SAN PEDRO CITY, LAGUNA","FULL TRANSMISSION"
"SAN POLICARPO, EASTERN SAMAR","PARTIAL TRANSMISSION"
"SAN QUINTIN, ABRA","FULL TRANSMISSION"
"SAN QUINTIN, PANGASINAN","FULL TRANSMISSION"
"SAN RAFAEL, BULACAN","FULL TRANSMISSION"
"SAN RAFAEL, ILOILO","FULL TRANSMISSION"
"SAN REMIGIO, ANTIQUE","PARTIAL TRANSMISSION"
"SAN REMIGIO, CEBU","PARTIAL TRANSMISSION"
"SAN RICARDO, SOUTHERN LEYTE","FULL TRANSMISSION"
"SAN ROQUE, NORTHERN SAMAR","FULL TRANSMISSION"
"SAN SEBASTIAN, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"SAN SIMON, PAMPANGA","FULL TRANSMISSION"
"SAN TEODORO, ORIENTAL MINDORO","FULL TRANSMISSION"
"SAN VICENTE, CAMARINES NORTE","FULL TRANSMISSION"
"SAN VICENTE, ILOCOS SUR","FULL TRANSMISSION"
"SAN VICENTE, NORTHERN SAMAR","FULL TRANSMISSION"
"SAN VICENTE, PALAWAN","FULL TRANSMISSION"
"SANCHEZ-MIRA, CAGAYAN","FULL TRANSMISSION"
"SANTA, ILOCOS SUR","FULL TRANSMISSION"
"SANTA ANA, CAGAYAN","FULL TRANSMISSION"
"SANTA ANA, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"SANTA ANA, PAMPANGA","FULL TRANSMISSION"
"SANTA BARBARA, ILOILO","FULL TRANSMISSION"
"SANTA BARBARA, PANGASINAN","FULL TRANSMISSION"
"SANTA CATALINA, ILOCOS SUR","FULL TRANSMISSION"
"SANTA CATALINA, NEGROS ORIENTAL","FULL TRANSMISSION"
"SANTA CRUZ, DAVAO DEL SUR","FULL TRANSMISSION"
"SANTA CRUZ, ILOCOS SUR","FULL TRANSMISSION"
"SANTA CRUZ, LAGUNA","FULL TRANSMISSION"
"SANTA CRUZ, MARINDUQUE","FULL TRANSMISSION"
"SANTA CRUZ, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"SANTA CRUZ, OCCIDENTAL MINDORO","FULL TRANSMISSION"
"SANTA CRUZ, ZAMBALES","FULL TRANSMISSION"
"SANTA ELENA, CAMARINES NORTE","FULL TRANSMISSION"
"SANTA FE, CEBU","FULL TRANSMISSION"
"SANTA FE, LEYTE","FULL TRANSMISSION"
"SANTA FE, NUEVA VIZCAYA","FULL TRANSMISSION"
"SANTA FE, ROMBLON","FULL TRANSMISSION"
"SANTA IGNACIA, TARLAC","FULL TRANSMISSION"
"SANTA JOSEFA, AGUSAN DEL SUR","FULL TRANSMISSION"
"SANTA LUCIA, ILOCOS SUR","FULL TRANSMISSION"
"SANTA MAGDALENA, SORSOGON","PARTIAL TRANSMISSION"
"SANTA MARCELA, APAYAO","FULL TRANSMISSION"
"SANTA MARGARITA, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"SANTA MARIA, BULACAN","FULL TRANSMISSION"
"SANTA MARIA, DAVAO OCCIDENTAL","FULL TRANSMISSION"
"SANTA MARIA, ILOCOS SUR","FULL TRANSMISSION"
"SANTA MARIA, ISABELA","FULL TRANSMISSION"
"SANTA MARIA, LAGUNA","FULL TRANSMISSION"
"SANTA MARIA, PANGASINAN","FULL TRANSMISSION"
"SANTA MARIA (IMELDA), ROMBLON","FULL TRANSMISSION"
"SANTA MONICA (SAPAO), SURIGAO DEL NORTE","FULL TRANSMISSION"
"SANTA PRAXEDES, CAGAYAN","FULL TRANSMISSION"
"SANTA RITA, PAMPANGA","FULL TRANSMISSION"
"SANTA RITA, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"SANTA ROSA, NUEVA ECIJA","FULL TRANSMISSION"
"SANTA ROSA CITY, LAGUNA","FULL TRANSMISSION"
"SANTA TERESITA, BATANGAS","FULL TRANSMISSION"
"SANTA TERESITA, CAGAYAN","FULL TRANSMISSION"
"SANTANDER, CEBU","FULL TRANSMISSION"
"SANTIAGO, AGUSAN DEL NORTE","FULL TRANSMISSION"
"SANTIAGO, ILOCOS SUR","FULL TRANSMISSION"
"SANTIAGO PE, NORTH AND LATIN AMERICA","NO TRANSMISSION"
"SANTO DOMINGO, ILOCOS SUR","FULL TRANSMISSION"
"SANTO DOMINGO, NUEVA ECIJA","FULL TRANSMISSION"
"SANTO DOMINGO (LIBOG), ALBAY","FULL TRANSMISSION"
"SANTO NIÑO, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"SANTO NIÑO, SOUTH COTABATO","FULL TRANSMISSION"
"SANTO NIÑO (FAIRE), CAGAYAN","FULL TRANSMISSION"
"SANTO TOMAS, BATANGAS","FULL TRANSMISSION"
"SANTO TOMAS, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"SANTO TOMAS, ISABELA","PARTIAL TRANSMISSION"
"SANTO TOMAS, LA UNION","FULL TRANSMISSION"
"SANTO TOMAS, PAMPANGA","FULL TRANSMISSION"
"SANTO TOMAS, PANGASINAN","FULL TRANSMISSION"
"SANTOL, LA UNION","FULL TRANSMISSION"
"SAPA-SAPA, TAWI-TAWI","FULL TRANSMISSION"
"SAPAD, LANAO DEL NORTE","FULL TRANSMISSION"
"SAPANG DALAGA, MISAMIS OCCIDENTAL","PARTIAL TRANSMISSION"
"SAPI-AN, CAPIZ","FULL TRANSMISSION"
"SARA, ILOILO","FULL TRANSMISSION"
"SARANGANI, DAVAO OCCIDENTAL","FULL TRANSMISSION"
"SARIAYA, QUEZON","FULL TRANSMISSION"
"SARRAT, ILOCOS NORTE","FULL TRANSMISSION"
"SASMUAN (SEXMOAN), PAMPANGA","PARTIAL TRANSMISSION"
"SCIENCE CITY OF MUÑOZ, NUEVA ECIJA","FULL TRANSMISSION"
"SEBASTE, ANTIQUE","FULL TRANSMISSION"
"SEN. NINOY AQUINO, SULTAN KUDARAT","FULL TRANSMISSION"
"SERGIO OSMEÑA SR., ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"SEVILLA, BOHOL","FULL TRANSMISSION"
"SHARIFF AGUAK (MAGANOY), MAGUINDANAO","FULL TRANSMISSION"
"SHARIFF SAYDONA MUSTAPHA, MAGUINDANAO","FULL TRANSMISSION"
"SIASI, SULU","PARTIAL TRANSMISSION"
"SIATON, NEGROS ORIENTAL","FULL TRANSMISSION"
"SIAY, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"SIAYAN, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"SIBAGAT, AGUSAN DEL SUR","FULL TRANSMISSION"
"SIBALOM, ANTIQUE","FULL TRANSMISSION"
"SIBONGA, CEBU","PARTIAL TRANSMISSION"
"SIBUCO, ZAMBOANGA DEL NORTE","PARTIAL TRANSMISSION"
"SIBULAN, NEGROS ORIENTAL","FULL TRANSMISSION"
"SIBUNAG, GUIMARAS","FULL TRANSMISSION"
"SIBUTAD, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"SIBUTU, TAWI-TAWI","FULL TRANSMISSION"
"SIERRA BULLONES, BOHOL","FULL TRANSMISSION"
"SIGAY, ILOCOS SUR","FULL TRANSMISSION"
"SIGMA, CAPIZ","FULL TRANSMISSION"
"SIKATUNA, BOHOL","FULL TRANSMISSION"
"SILAGO, SOUTHERN LEYTE","PARTIAL TRANSMISSION"
"SILANG, CAVITE","FULL TRANSMISSION"
"SILAY CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"SILVINO LOBOS, NORTHERN SAMAR","FULL TRANSMISSION"
"SIMUNUL, TAWI-TAWI","FULL TRANSMISSION"
"SINACABAN, MISAMIS OCCIDENTAL","FULL TRANSMISSION"
"SINAIT, ILOCOS SUR","FULL TRANSMISSION"
"SINDANGAN, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"SINILOAN, LAGUNA","FULL TRANSMISSION"
"SIOCON, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"SIPALAY CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"SIPOCOT, CAMARINES SUR","FULL TRANSMISSION"
"SIQUIJOR, SIQUIJOR","FULL TRANSMISSION"
"SIRAWAI, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"SIRUMA, CAMARINES SUR","FULL TRANSMISSION"
"SISON, PANGASINAN","FULL TRANSMISSION"
"SISON, SURIGAO DEL NORTE","FULL TRANSMISSION"
"SITANGKAI, TAWI-TAWI","FULL TRANSMISSION"
"SOCIALIST REPUBLIC OF VIETNAM, ASIA","NO TRANSMISSION"
"SOCORRO, ORIENTAL MINDORO","FULL TRANSMISSION"
"SOCORRO, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"SOFRONIO ESPAÑOLA, PALAWAN","FULL TRANSMISSION"
"SOGOD, CEBU","PARTIAL TRANSMISSION"
"SOGOD, SOUTHERN LEYTE","FULL TRANSMISSION"
"SOLANA, CAGAYAN","FULL TRANSMISSION"
"SOLANO, NUEVA VIZCAYA","FULL TRANSMISSION"
"SOLSONA, ILOCOS NORTE","FULL TRANSMISSION"
"SOMINOT (DON MARIANO MARCOS), ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"SORSOGON CITY, SORSOGON","FULL TRANSMISSION"
"SOUTH UBIAN, TAWI-TAWI","FULL TRANSMISSION"
"SOUTH UPI, MAGUINDANAO","FULL TRANSMISSION"
"SPAIN, EUROPE","FULL TRANSMISSION"
"STATE OF KUWAIT, MIDDLE EAST AND AFRICAS","PARTIAL TRANSMISSION"
"STATE OF QATAR, MIDDLE EAST AND AFRICAS","FULL TRANSMISSION"
"SUAL, PANGASINAN","FULL TRANSMISSION"
"SUBIC, ZAMBALES","FULL TRANSMISSION"
"SUDIPEN, LA UNION","FULL TRANSMISSION"
"SUGBONGCOGON, MISAMIS ORIENTAL","FULL TRANSMISSION"
"SUGPON, ILOCOS SUR","PARTIAL TRANSMISSION"
"SULAT, EASTERN SAMAR","PARTIAL TRANSMISSION"
"SULOP, DAVAO DEL SUR","FULL TRANSMISSION"
"SULTAN DUMALONDONG, LANAO DEL SUR","FULL TRANSMISSION"
"SULTAN KUDARAT (NULING), MAGUINDANAO","PARTIAL TRANSMISSION"
"SULTAN MASTURA, MAGUINDANAO","FULL TRANSMISSION"
"SULTAN NAGA DIMAPORO  (KAROMATAN), LANAO DEL NORTE","FULL TRANSMISSION"
"SULTAN SA BARONGIS (LAMBAYONG), MAGUINDANAO","FULL TRANSMISSION"
"SULTANATE OF OMAN, MIDDLE EAST AND AFRICAS","NO TRANSMISSION"
"SUMILAO, BUKIDNON","FULL TRANSMISSION"
"SUMISIP, BASILAN","FULL TRANSMISSION"
"SURALLAH, SOUTH COTABATO","FULL TRANSMISSION"
"SURIGAO CITY, SURIGAO DEL NORTE","FULL TRANSMISSION"
"SUYO, ILOCOS SUR","FULL TRANSMISSION"
"SWITZERLAND, EUROPE","NO TRANSMISSION"
"T`BOLI, SOUTH COTABATO","PARTIAL TRANSMISSION"
"TAAL, BATANGAS","FULL TRANSMISSION"
"TABACO  CITY, ALBAY","FULL TRANSMISSION"
"TABANGO, LEYTE","FULL TRANSMISSION"
"TABINA, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"TABOGON, CEBU","FULL TRANSMISSION"
"TABONTABON, LEYTE","FULL TRANSMISSION"
"TABUAN-LASA, BASILAN","FULL TRANSMISSION"
"TABUELAN, CEBU","FULL TRANSMISSION"
"TABUK CITY, KALINGA","PARTIAL TRANSMISSION"
"TACLOBAN CITY, LEYTE","FULL TRANSMISSION"
"TACURONG CITY, SULTAN KUDARAT","PARTIAL TRANSMISSION"
"TADIAN, MOUNTAIN PROVINCE","FULL TRANSMISSION"
"TAFT, EASTERN SAMAR","FULL TRANSMISSION"
"TAGANA-AN, SURIGAO DEL NORTE","FULL TRANSMISSION"
"TAGAPUL-AN, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"TAGAYTAY CITY, CAVITE","FULL TRANSMISSION"
"TAGBILARAN CITY, BOHOL","FULL TRANSMISSION"
"TAGBINA, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"TAGKAWAYAN, QUEZON","FULL TRANSMISSION"
"TAGO, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"TAGOLOAN, LANAO DEL NORTE","PARTIAL TRANSMISSION"
"TAGOLOAN, LANAO DEL SUR","PARTIAL TRANSMISSION"
"TAGOLOAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"TAGUDIN, ILOCOS SUR","FULL TRANSMISSION"
"TAGUIG, TAGUIG - PATEROS","PARTIAL TRANSMISSION"
"TALACOGON, AGUSAN DEL SUR","FULL TRANSMISSION"
"TALAINGOD, DAVAO (DAVAO DEL NORTE)","FULL TRANSMISSION"
"TALAKAG, BUKIDNON","FULL TRANSMISSION"
"TALALORA, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"TALAVERA, NUEVA ECIJA","FULL TRANSMISSION"
"TALAYAN, MAGUINDANAO","PARTIAL TRANSMISSION"
"TALIBON, BOHOL","FULL TRANSMISSION"
"TALIPAO, SULU","PARTIAL TRANSMISSION"
"TALISAY, BATANGAS","FULL TRANSMISSION"
"TALISAY, CAMARINES NORTE","FULL TRANSMISSION"
"TALISAY CITY, CEBU","FULL TRANSMISSION"
"TALISAY CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"TALISAYAN, MISAMIS ORIENTAL","FULL TRANSMISSION"
"TALITAY, MAGUINDANAO","PARTIAL TRANSMISSION"
"TALUGTUG, NUEVA ECIJA","FULL TRANSMISSION"
"TALUSAN, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"TAMBULIG, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"TAMPAKAN, SOUTH COTABATO","FULL TRANSMISSION"
"TAMPARAN, LANAO DEL SUR","FULL TRANSMISSION"
"TAMPILISAN, ZAMBOANGA DEL NORTE","FULL TRANSMISSION"
"TANAUAN, LEYTE","FULL TRANSMISSION"
"TANAUAN  CITY, BATANGAS","FULL TRANSMISSION"
"TANAY, RIZAL","FULL TRANSMISSION"
"TANDAG CITY, SURIGAO DEL SUR","PARTIAL TRANSMISSION"
"TANDUBAS, TAWI-TAWI","FULL TRANSMISSION"
"TANGALAN, AKLAN","FULL TRANSMISSION"
"TANGCAL, LANAO DEL NORTE","FULL TRANSMISSION"
"TANGUB CITY, MISAMIS OCCIDENTAL","PARTIAL TRANSMISSION"
"TANJAY CITY, NEGROS ORIENTAL","FULL TRANSMISSION"
"TANTANGAN, SOUTH COTABATO","FULL TRANSMISSION"
"TANUDAN, KALINGA","FULL TRANSMISSION"
"TANZA, CAVITE","FULL TRANSMISSION"
"TAPAZ, CAPIZ","FULL TRANSMISSION"
"TAPUL, SULU","PARTIAL TRANSMISSION"
"TARAKA, LANAO DEL SUR","PARTIAL TRANSMISSION"
"TARANGNAN, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"TARRAGONA, DAVAO ORIENTAL","PARTIAL TRANSMISSION"
"TAYABAS CITY, QUEZON","PARTIAL TRANSMISSION"
"TAYASAN, NEGROS ORIENTAL","FULL TRANSMISSION"
"TAYSAN, BATANGAS","FULL TRANSMISSION"
"TAYTAY, PALAWAN","FULL TRANSMISSION"
"TAYTAY, RIZAL","FULL TRANSMISSION"
"TAYUG, PANGASINAN","FULL TRANSMISSION"
"TAYUM, ABRA","FULL TRANSMISSION"
"TERESA, RIZAL","FULL TRANSMISSION"
"TERNATE, CAVITE","FULL TRANSMISSION"
"TIAONG, QUEZON","PARTIAL TRANSMISSION"
"TIBIAO, ANTIQUE","FULL TRANSMISSION"
"TIGAON, CAMARINES SUR","FULL TRANSMISSION"
"TIGBAO, ZAMBOANGA DEL SUR","PARTIAL TRANSMISSION"
"TIGBAUAN, ILOILO","FULL TRANSMISSION"
"TIMOR-LESTE, ASIA","NO TRANSMISSION"
"TINAMBAC, CAMARINES SUR","FULL TRANSMISSION"
"TINEG, ABRA","FULL TRANSMISSION"
"TINGLAYAN, KALINGA","FULL TRANSMISSION"
"TINGLOY, BATANGAS","FULL TRANSMISSION"
"TINOC, IFUGAO","FULL TRANSMISSION"
"TIPO-TIPO, BASILAN","PARTIAL TRANSMISSION"
"TITAY, ZAMBOANGA SIBUGAY","FULL TRANSMISSION"
"TIWI, ALBAY","FULL TRANSMISSION"
"TOBIAS FORNIER (DAO), ANTIQUE","FULL TRANSMISSION"
"TOBOSO, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"TOLEDO CITY, CEBU","FULL TRANSMISSION"
"TOLOSA, LEYTE","FULL TRANSMISSION"
"TOMAS OPPUS, SOUTHERN LEYTE","FULL TRANSMISSION"
"TONDO, NATIONAL CAPITAL REGION - MANILA","NO TRANSMISSION"
"TONGKIL, SULU","FULL TRANSMISSION"
"TORRIJOS, MARINDUQUE","FULL TRANSMISSION"
"TRECE MARTIRES CITY, CAVITE","FULL TRANSMISSION"
"TRENTO, AGUSAN DEL SUR","FULL TRANSMISSION"
"TRINIDAD, BOHOL","FULL TRANSMISSION"
"TUAO, CAGAYAN","FULL TRANSMISSION"
"TUBA, BENGUET","FULL TRANSMISSION"
"TUBAJON, DINAGAT ISLANDS","FULL TRANSMISSION"
"TUBAO, LA UNION","FULL TRANSMISSION"
"TUBARAN, LANAO DEL SUR","FULL TRANSMISSION"
"TUBAY, AGUSAN DEL NORTE","FULL TRANSMISSION"
"TUBIGON, BOHOL","PARTIAL TRANSMISSION"
"TUBLAY, BENGUET","FULL TRANSMISSION"
"TUBO, ABRA","PARTIAL TRANSMISSION"
"TUBOD, LANAO DEL NORTE","FULL TRANSMISSION"
"TUBOD, SURIGAO DEL NORTE","PARTIAL TRANSMISSION"
"TUBUNGAN, ILOILO","FULL TRANSMISSION"
"TUBURAN, BASILAN","FULL TRANSMISSION"
"TUBURAN, CEBU","FULL TRANSMISSION"
"TUDELA, CEBU","FULL TRANSMISSION"
"TUDELA, MISAMIS OCCIDENTAL","PARTIAL TRANSMISSION"
"TUGAYA, LANAO DEL SUR","FULL TRANSMISSION"
"TUGUEGARAO CITY, CAGAYAN","FULL TRANSMISSION"
"TUKURAN, ZAMBOANGA DEL SUR","FULL TRANSMISSION"
"TULUNAN, COTABATO (NORTH COT.)","FULL TRANSMISSION"
"TUMAUINI, ISABELA","FULL TRANSMISSION"
"TUNGA, LEYTE","FULL TRANSMISSION"
"TUNGAWAN, ZAMBOANGA SIBUGAY","PARTIAL TRANSMISSION"
"TUPI, SOUTH COTABATO","FULL TRANSMISSION"
"TURTLE ISLANDS, TAWI-TAWI","FULL TRANSMISSION"
"TUY, BATANGAS","FULL TRANSMISSION"
"UBAY, BOHOL","FULL TRANSMISSION"
"UMINGAN, PANGASINAN","PARTIAL TRANSMISSION"
"UNGKAYA PUKAN, BASILAN","FULL TRANSMISSION"
"UNION OF MYANMAR, ASIA","NO TRANSMISSION"
"UNISAN, QUEZON","FULL TRANSMISSION"
"UNITED ARAB EMIRATES, MIDDLE EAST AND AFRICAS","PARTIAL TRANSMISSION"
"UNITED KINGDOM OF GREAT BRITAIN, EUROPE","PARTIAL TRANSMISSION"
"UPI, MAGUINDANAO","FULL TRANSMISSION"
"URBIZTONDO, PANGASINAN","FULL TRANSMISSION"
"URDANETA CITY, PANGASINAN","PARTIAL TRANSMISSION"
"USON, MASBATE","FULL TRANSMISSION"
"UYUGAN, BATANES","FULL TRANSMISSION"
"VALDERRAMA, ANTIQUE","FULL TRANSMISSION"
"VALENCIA, BOHOL","FULL TRANSMISSION"
"VALENCIA  CITY, BUKIDNON","PARTIAL TRANSMISSION"
"VALENCIA (LUZURRIAGA), NEGROS ORIENTAL","FULL TRANSMISSION"
"VALLADOLID, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"VALLEHERMOSO, NEGROS ORIENTAL","FULL TRANSMISSION"
"VATICAN CITY STATE (HOLY SEE), EUROPE","NO TRANSMISSION"
"VERUELA, AGUSAN DEL SUR","FULL TRANSMISSION"
"VICTORIA, LAGUNA","FULL TRANSMISSION"
"VICTORIA, NORTHERN SAMAR","FULL TRANSMISSION"
"VICTORIA, ORIENTAL MINDORO","FULL TRANSMISSION"
"VICTORIA, TARLAC","FULL TRANSMISSION"
"VICTORIAS CITY, NEGROS OCCIDENTAL","FULL TRANSMISSION"
"VIENNA PE, EUROPE","NO TRANSMISSION"
"VIGA, CATANDUANES","FULL TRANSMISSION"
"VIGAN CITY, ILOCOS SUR","FULL TRANSMISSION"
"VILLABA, LEYTE","FULL TRANSMISSION"
"VILLANUEVA, MISAMIS ORIENTAL","FULL TRANSMISSION"
"VILLAREAL, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
"VILLASIS, PANGASINAN","FULL TRANSMISSION"
"VILLAVERDE, NUEVA VIZCAYA","FULL TRANSMISSION"
"VILLAVICIOSA, ABRA","PARTIAL TRANSMISSION"
"VINCENZO A. SAGUN, ZAMBOANGA DEL SUR","PARTIAL TRANSMISSION"
"VINTAR, ILOCOS NORTE","FULL TRANSMISSION"
"VINZONS, CAMARINES NORTE","FULL TRANSMISSION"
"VIRAC, CATANDUANES","FULL TRANSMISSION"
"WAO, LANAO DEL SUR","FULL TRANSMISSION"
"WARSAW PE, EUROPE","NO TRANSMISSION"
"WASHINGTON D.C. PE, NORTH AND LATIN AMERICA","PARTIAL TRANSMISSION"
"ZAMBOANGA CITY, ZAMBOANGA DEL SUR","PARTIAL TRANSMISSION"
"ZAMBOANGUITA, NEGROS ORIENTAL","FULL TRANSMISSION"
"ZARAGOZA, NUEVA ECIJA","FULL TRANSMISSION"
"ZARRAGA, ILOILO","FULL TRANSMISSION"
"ZUMARRAGA, SAMAR (WESTERN SAMAR)","FULL TRANSMISSION"
